someInt,supervisorID,supervisorName,deviceID,customConfig,timeStamp(UTC)
34,1,intMaker,1,False,09/25/2019-21:39:55
42,1,intMaker,1,False,09/25/2019-21:39:56
70,1,intMaker,1,False,09/25/2019-21:39:57
93,1,intMaker,1,False,09/25/2019-21:39:58
100,1,intMaker,1,False,09/25/2019-21:39:59
5,1,intMaker,1,False,09/25/2019-21:40:00
13,1,intMaker,1,False,09/25/2019-21:40:01
75,1,intMaker,1,False,09/25/2019-21:40:02
17,1,intMaker,1,False,09/25/2019-21:40:03
62,1,intMaker,1,False,09/25/2019-21:40:04
4,1,intMaker,1,False,09/25/2019-21:40:05
10,1,intMaker,1,False,09/25/2019-21:40:06
93,1,intMaker,1,False,09/25/2019-21:40:07
81,1,intMaker,1,False,09/25/2019-21:40:08
43,1,intMaker,1,False,09/25/2019-21:40:09
89,1,intMaker,1,False,09/25/2019-21:40:10
