someInt,supervisorID,supervisorName,deviceID,customConfig,timeStamp(UTC)
10,2,Little Thanos,1,True,09/06/2019-20:36:18
74,2,Little Thanos,1,True,09/06/2019-20:36:19
51,2,Little Thanos,1,True,09/06/2019-20:36:20
21,2,Little Thanos,1,True,09/06/2019-20:36:21
84,2,Little Thanos,1,True,09/06/2019-20:36:22
89,2,Little Thanos,1,True,09/06/2019-20:36:23
42,2,Little Thanos,1,True,09/06/2019-20:36:24
10,2,Little Thanos,1,True,09/06/2019-20:36:25
71,2,Little Thanos,1,True,09/06/2019-20:36:26
0,2,Little Thanos,1,True,09/06/2019-20:36:27
43,2,Little Thanos,1,True,09/06/2019-20:36:28
42,2,Little Thanos,1,True,09/06/2019-20:36:29
79,2,Little Thanos,1,True,09/06/2019-20:36:30
56,2,Little Thanos,1,True,09/06/2019-20:36:31
85,2,Little Thanos,1,True,09/06/2019-20:36:32
51,2,Little Thanos,1,True,09/06/2019-20:36:33
59,2,Little Thanos,1,True,09/06/2019-20:36:34
100,2,Little Thanos,1,True,09/06/2019-20:36:35
3,2,Little Thanos,1,True,09/06/2019-20:36:36
69,2,Little Thanos,1,True,09/06/2019-20:36:37
82,2,Little Thanos,1,True,09/06/2019-20:36:38
4,2,Little Thanos,1,True,09/06/2019-20:36:39
25,2,Little Thanos,1,True,09/06/2019-20:36:40
52,2,Little Thanos,1,True,09/06/2019-20:36:41
46,2,Little Thanos,1,True,09/06/2019-20:36:42
71,2,Little Thanos,1,True,09/06/2019-20:36:43
47,2,Little Thanos,1,True,09/06/2019-20:36:44
4,2,Little Thanos,1,True,09/06/2019-20:36:45
76,2,Little Thanos,1,True,09/06/2019-20:36:46
51,2,Little Thanos,1,True,09/06/2019-20:36:47
95,2,Little Thanos,1,True,09/06/2019-20:36:48
53,2,Little Thanos,1,True,09/06/2019-20:36:49
0,2,Little Thanos,1,True,09/06/2019-20:36:50
24,2,Little Thanos,1,True,09/06/2019-20:36:51
32,2,Little Thanos,1,True,09/06/2019-20:36:52
69,2,Little Thanos,1,True,09/06/2019-20:36:53
38,2,Little Thanos,1,True,09/06/2019-20:36:54
42,2,Little Thanos,1,True,09/06/2019-20:36:55
57,2,Little Thanos,1,True,09/06/2019-20:36:56
13,2,Little Thanos,1,True,09/06/2019-20:36:57
97,2,Little Thanos,1,True,09/06/2019-20:36:58
71,2,Little Thanos,1,True,09/06/2019-20:36:59
59,2,Little Thanos,1,True,09/06/2019-20:37:00
87,2,Little Thanos,1,True,09/06/2019-20:37:01
69,2,Little Thanos,1,True,09/06/2019-20:37:02
34,2,Little Thanos,1,True,09/06/2019-20:37:03
99,2,Little Thanos,1,True,09/06/2019-20:37:04
35,2,Little Thanos,1,True,09/06/2019-20:37:05
20,2,Little Thanos,1,True,09/06/2019-20:37:06
71,2,Little Thanos,1,True,09/06/2019-20:37:07
17,2,Little Thanos,1,True,09/06/2019-20:37:08
69,2,Little Thanos,1,True,09/06/2019-20:37:09
22,2,Little Thanos,1,True,09/06/2019-20:37:10
0,2,Little Thanos,1,True,09/06/2019-20:37:11
11,2,Little Thanos,1,True,09/06/2019-20:37:12
39,2,Little Thanos,1,True,09/06/2019-20:37:13
16,2,Little Thanos,1,True,09/06/2019-20:37:14
83,2,Little Thanos,1,True,09/06/2019-20:37:15
14,2,Little Thanos,1,True,09/06/2019-20:37:16
1,2,Little Thanos,1,True,09/06/2019-20:37:17
15,2,Little Thanos,1,True,09/06/2019-20:37:18
88,2,Little Thanos,1,True,09/06/2019-20:37:19
